query,result_id,title,category,subcategory,tags,difficulty,content_preview,relevance
write something persuasive for customers,pk_05727,Draft persuasive copy for {{product_name}},creative-writing,copywriting,"copywriting, persuasive-writing, marketing, product-description, advertising",intermediate,Write three variations of persuasive copy for {{product_name}} targeting {{target_audience}}. Version A should use emotional appeal and storytelling. Version B should be data-driven with statistics and social proof. Version C should use urgency and scarcity tactics. Each version should be 150-200 wo...,
write something persuasive for customers,pk_18512,Please assist if you would be so kind,customer-support,feedback-analysis,"survey-analysis, themes, presentation-tips",advanced,Good evening! I need help analyzing some customer feedback we received from a recent promotion. We sent out a survey and got about 500 responses. I need to figure out what the main themes are and present them to my boss. I am not very good at data analysis if Im being honest. Could you give me some ...,
write something persuasive for customers,pk_19526,customer research,marketing,market-research,"customers, research, insights",intermediate,how to know what customers want,
write something persuasive for customers,pk_07899,Need help writing something for work,customer-support,announcements,"store-hours, announcement, social-media",beginner,Hello dear assistant! I hope this finds you well. My name is Frank and I am a supervisor at a customer call center. We recently changed some of our store hours and we need to let our customers know about it. Could you help me write a short announcement for our website and social media? Something fri...,
write something persuasive for customers,pk_18170,Write sales page with emotional appeal,creative-writing,copywriting,"landing-page, sales-copy, conversion-writing, emotional-appeal, cta",advanced,"Write a landing page for a fictional {{product_name}} that sells to {{audience}}. The page must: hook with a relatable problem in the first headline, establish credibility through storytelling (real or fictional customer testimonial), explain the solution without jargon, address three common objecti...",
write something persuasive for customers,pk_14475,Request for help analyzing stuff,customer-support,feedback-analysis,"survey-analysis, customer-feedback, data-organization",intermediate,Good morning ChatGPT I am writing to you from the accounting department where I do not belong but somehow I got roped into helping with customer stuff anyway We collected all these survey answers from our customers about whether they are happy with our service and now nobody knows what to do with th...,
write something persuasive for customers,pk_19545,A polite question for you,customer-support,satisfaction-surveys,"survey-creation, customer-satisfaction, questionnaire-design",beginner,Hello! I am working on a survey to send to our customers and I want to make sure I am doing it right I work for a small gym and we want to know if people like the classes and the trainers and the parking situation I was wondering what kinds of questions I should ask? Should I use strongly agree or s...,
write something persuasive for customers,pk_05033,Write Re-engagement Campaign for Lapsed Customers,marketing,email-campaigns,"win-back, lapsed-customers, re-engagement, email-sequence, retention",intermediate,"Create a win-back email campaign for customers who haven't purchased in 6+ months. Design a 2-email sequence with a 7-day gap between emails. Email 1 should acknowledge their absence and offer an incentive. Email 2 should create urgency with a deadline on the offer. Include subject lines, preview te...",
write something persuasive for customers,pk_08238,email newsleter thing,creative-writing,copywriting,"email, marketing, newsletter",intermediate,help me write an emal to my customers abt our new product i wanna make it sound exciting but not to salesy u know,
write something persuasive for customers,pk_12609,Create Cross-Sell and Upsell Script,sales,upselling,"upselling, cross-selling, script, support-agents, conversion",intermediate,Create a conversation script for support agents to naturally introduce premium features during a support interaction. The context: a customer is calling about a basic plan limitation they've encountered. Write the script as a dialogue with agent responses in bold and customer responses in regular te...,
write something persuasive for customers,pk_16459,Write a Prompt with {{product_name}} and {{audience}},creative-writing,copywriting,"copywriting, landing-page, conversion, marketing, audience",intermediate,"As a direct response copywriter, write landing page copy for {{product_name}} targeted at {{audience}}. The page must include: a headline that creates curiosity without being clickbait, a subheadline that promises a specific transformation, three benefit-focused sections (not feature lists), one cus...",
write something persuasive for customers,pk_14755,Write social proof request messages,marketing,review-solicitation,"reviews, social-proof, sms-marketing, customer-feedback, user-generated-content",beginner,"Generate 10 variations of post-purchase messages requesting customers to leave product reviews. Vary the approach for each: 1) incentive-based, 2) community-focused, 3) exclusive access, 4) emotional appeal, 5) simplicity-focused, 6) FOMO-driven, 7) gratitude-based, 8) question-based, 9) story-shari...",
write something persuasive for customers,pk_14470,Craft marketing brand story template,creative-writing,copywriting,"copywriting, marketing, brand-story, template, persuasion",intermediate,"Act as a brand storyteller. Create a reusable template for emotional brand storytelling that includes: an opening hook structure, a protagonist formula (the customer), an antagonist concept (the problem), a resolution framework, and a call to action template. Explain when to use each element and pro...",
write something persuasive for customers,pk_17752,Craft Product Description,marketing,copywriting,"product-description, copywriting, e-commerce, retail, conversion",intermediate,"Write a compelling product description for {{product_name}} targeted at {{audience}}. The tone should be {{tone}} and highlight at least 3 unique selling points while addressing potential customer concerns. Format as a markdown document with sections for Features, Benefits, and Specifications.",
write something persuasive for customers,pk_14861,satifaction surve,customer-support,satisfaction-surveys,"survey, satisfaction, questions",beginner,give me 5 questions for a satifaction surve its for our new service,
write something persuasive for customers,pk_08618,Create a rubric for persuasive essays,education,assessment,"rubric, essay, writing, persuasive, evaluation",intermediate,"Create a detailed 4-point analytic rubric for evaluating {{grade_level}} student persuasive essays. Include criteria for: thesis clarity, argument quality, evidence usage, counterargument handling, organization, and language conventions. For each criterion, write specific descriptors for scores of 4...",
write something persuasive for customers,pk_11950,Write Industry-Specific Persuasive Copy,creative-writing,copywriting,"copywriting, persuasion, conversion, marketing, industry",intermediate,"Act as a conversion copywriter for the {{industry}} industry. Write a landing page headline, subheadline, three benefit-driven bullet points, and a call-to-action button text for a {{audience}} audience. The copy should overcome the objection that this product/service is 'too expensive.' Maintain a ...",
write something persuasive for customers,pk_09230,Craft High-Converting Product Descriptions,marketing,copywriting,"product descriptions, fashion, e-commerce, persuasive writing, retail",intermediate,"Write 5 product descriptions for an online fashion retailer. Each description should be 2-3 sentences, use sensory language, and include a subtle call-to-action. Focus on different product categories: dresses, shoes, accessories, activewear, and outerwear. Make the reader imagine wearing or using th...",
write something persuasive for customers,pk_05313,Craft product description for online store,writing,product-copy,"copywriting, product-listing, seo, e-commerce, conversion",beginner,"Write a compelling product description for an online store listing. Include the product name, key features, benefits, and a call-to-action. Use persuasive language that appeals to the target audience and optimized for search engines.",
write something persuasive for customers,pk_06454,Pricing Page Copy,marketing,pricing-strategy,"pricing page, saas pricing, conversion copy, pricing strategy, copywriting",advanced,"Write persuasive pricing page copy for a project management tool with three tiers: Starter ($9/month), Professional ($19/month), and Enterprise (custom pricing). For each tier, include the tier name, price, billing period, 5 feature bullets, and a target user description. Also write an intro paragra...",
write something persuasive for customers,pk_16876,Craft conversion-focused copy,creative-writing,copywriting,"copywriting, marketing, persuasive-writing, product-description, conversion",intermediate,"Write a series of 5 variations of product description copy for {{industry}}. Focus on different emotional triggers: fear of missing out, social proof, exclusivity, problem-solution, and aspiration. Each variation should be 50-75 words. Include a headline, 2-sentence description, and clear call-to-ac...",
write something persuasive for customers,pk_04296,Persuasive Opening Hooks Collection,creative-writing,copywriting,"hooks, copywriting, openings, persuasion, article-writing",beginner,"Generate ten different opening hooks for an article about the importance of preserving local libraries. Each hook should use a different technique: 1) provocative statistic, 2) vivid scene-setting, 3) surprising juxtaposition, 4) direct address to reader, 5) historical parallel, 6) anecdote, 7) bold...",
write something persuasive for customers,pk_04565,Sorry to disturb you with this,creative-writing,npc-dialogue,"customers, bakery, dialogue, friendly",beginner,Hello ChatGPT my dear! How are we today? I am fine myself just a bit tired from walking the dog this morning. My granddaughter is making a video game about a magical bakery and she asked me to help write the dialogue for the customers who come to buy pastries. Could you please write some cute and fr...,
write something persuasive for customers,pk_07158,Grant Proposal Impact Statement,professional,grant-writing,"grant-writing, impact-statement, funding, research-significance, persuasive-writing",advanced,"Write a compelling impact statement for a {{grant_type}} grant proposal in {{research_area}}. The statement should explain the broader significance of the research, its potential contributions to the field, and real-world applications. Keep it to exactly 300 words and use persuasive but scientifical...",
write something persuasive for customers,pk_08270,Translate Product Marketing Copy,translation,marketing,"marketing-translation, creative-copy, tone-adaptation, cultural-resonance, persuasive-text",intermediate,Translate this product marketing copy into {{target_language}} while maintaining persuasive impact and cultural resonance. Adapt idioms and cultural references appropriately. Preserve the call-to-action's emotional appeal even if you must change the literal wording. Source: 'Life's too short for bad...,
write something persuasive for customers,pk_15490,Draft Grant Proposal Summary,writing,grant-writing,"grant proposal, funding, research summary, executive summary, persuasive writing",advanced,"Create a one-page executive summary for a grant proposal on {{topic}}. Include the research problem, proposed methodology, expected outcomes, and budget justification. The tone should be persuasive yet factual, suitable for {{funding_body}} reviewers who may not be specialists in your exact field.",
write something persuasive for customers,pk_13137,One more favour please,marketing,content-strategy,"case-study, b2b-marketing, printing-business",advanced,Hi there! I hope youre having a great day. I am Gerald and I have a small printing business. One of my bigger clients asked me to prepare something called a case study about our work together. I have no idea what that means or how to write one. Is it like a story? Should I just explain what we print...,
write something persuasive for customers,pk_18017,A small favor if you have time,customer-support,ticket-responses,"complaint-response, personalized-email, sincere-apology",intermediate,Hello! I am trying to write a response to a customer who has a complaint about our product. Could you help me draft something that sounds sincere? Their name is {{customer_name}} and they purchased {{product_name}} about two weeks ago. Thank you for your help!! Martha,
write something persuasive for customers,pk_18947,Request for template maybe?,customer-support,onboarding-messages,"welcome-email, subscription, customer-onboarding",beginner,Hello there I hope you are doing wonderfully today I work for a subscription box company and we send out new welcome boxes every day I was asked to write a welcome message for our customers but I am not sure what to say My supervisor wants me to include information about how to cancel or pause their...,
write something persuasive for customers,pk_01814,Greetings! A small request if you don't mind,company-culture,internal-communications,"appreciation, newsletter, educators, motivation",beginner,Hello! I hope you are having a beautiful day. My name is Dorothy and I am in charge of communications at my church's preschool. We are trying to create a better company culture and I wanted to send a newsletter to our staff about how much we appreciate them. Could you help me write a nice letter tha...,
write something persuasive for customers,pk_19388,Kind request for help with work stuff,customer-support,escalation-scripts,"escalation, script-writing, angry-customers",intermediate,Dear ChatGPT Good afternoon I hope you are having a lovely day My manager asked me to write something called an escalation script and I have no idea what that means She said its for when customers get really upset and we need to pass them along to someone higher up than us I was wondering if you cou...,
write something persuasive for customers,pk_04533,Help with letter to upset customer,customer-support,apology-writing,"public-apology, reputation-management, customer-retention",intermediate,Good afternoon ChatGPT Please forgive me for disturbing you with my request I need to write an apology letter to one of our customers who had a very bad experience with our company A driver was rude to her and she posted about it online and now other people are commenting negatively on our business ...,
write something persuasive for customers,pk_03956,Hello dear hope youre having a good day,customer-support,ticket-responses,"apology, damaged, response, customer-care",beginner,"Dear AI, I hope you are well! I am writing to ask for help with something. A customer received a damaged item and I need to write them a nice apology and explain what we will do about it. I want to make sure they are not upset with us. Could you help me compose a kind response? Thank you so much! Wa...",
write something persuasive for customers,pk_13233,so i need to write some stuff for work and idk where to start lol,customer-support,ticket-responses,"templates, email-responses, customer-communication, work-help",beginner,hey so basically i work in customer support and my manager said i need to create these things called templates for when customers email us like different responses for different situations and honestly i dont even know where to start like do i just write whatever or is there like a format or somethi...,
write something persuasive for customers,pk_12178,A quick question if thats alright,customer-support,satisfaction-surveys,"thank-you, survey, feedback, message",beginner,"Hello dear AI, I hope you are having a beautiful day. I work in customer success and we just sent out a feedback survey to our customers. I want to send a nice thank you message to everyone who responds. Could you help me write something heartfelt? I would appreciate it more than you know. Thank you...",
write something persuasive for customers,pk_18428,writing responses for social media when people complain,customer-support,ticket-responses,"social-media, crisis, public-response, complaints",advanced,someone left a really embarrassing complaint about our company on twitter and my CEO personally emailed me asking me to handle it and i have no idea what im doing because usually customers email us and i can take my time to think about a response but this is twitter where everyone can see and people...,
write something persuasive for customers,pk_09506,Sorry to bother you with a request,customer-support,ticket-responses,"late-delivery, email-template, bookshop, apologize, customer-care",beginner,"Good morning dear AI, this is Susan calling or rather typing. My grandson showed me how to use you and I must say you are quite impressive. I run a little bookshop and customers often email us when their orders arrive late. I need a nice template I can use to respond to them. Something that apologiz...",
write something persuasive for customers,pk_15587,Hello hope you can help an oldtimer,customer-success,renewal-communication,"renewal, subscription, reminder",beginner,Good day to you! I am William and I run a small subscription service for magazine deliveries. Every week we send out renewal reminders to our customers but I never know what to say. Could you please help me write a friendly renewal reminder message? Nothing too pushy please because I want to keep my...,
write something persuasive for customers,pk_05373,Multi-language Product Copy,creative-writing,localization,"translation, skincare, international, localization",advanced,"Translate these English product descriptions for a skincare line into Spanish, French, and German while maintaining the brand voice, persuasive tone, and cultural appropriateness for each market.",
write something persuasive for customers,pk_11327,top customers sql,data-analysis,sql-queries,"sql, aggregation, customers, ranking",intermediate,write me a sql query to find the top 10 customers by total order amount including their name and email,
analyze sales data and find business insights,pk_06577,Analyze this dataset for insights,data-analysis,exploratory-analysis,"exploratory-analysis, business-insights, descriptive-statistics, customer-analysis, data-summarization",intermediate,"Analyze the following dataset summary and provide 10 actionable business insights. Include statistical evidence for each insight: - 50,000 customer records - Average age: 34 years (SD: 8.2) - Monthly spending: mean $127, median $98, max $4,500 - Top 3 product categories: Electronics (34%), Clothing ...",
analyze sales data and find business insights,pk_04279,Act as senior data analyst,data-analysis,statistical-analysis,"business-analysis, e-commerce, hypothesis-testing, data-investigation, stakeholder-communication",advanced,"Act as a senior data analyst with 10 years of experience in e-commerce. A stakeholder asks you: 'Why did our sales drop by 15% last month?' Walk me through your analytical approach. Include: initial hypotheses to consider, data sources you would examine first, statistical tests you might run, and ho...",
analyze sales data and find business insights,pk_17052,dashboard project,data-analysis,dashboards,"dashboard, data-visualization, bi-tools, reporting, metrics",intermediate,okay so my manager wants me to build a dashboard that shows our key metrics and i have no clue where to start i know we have data in like sql databases and also some csv files and also someone mentioned we have an api or something which i dont know what that means exactly and also i need to make it ...,
analyze sales data and find business insights,pk_17324,Sales Report Summary Generator,data-analysis,sales-reporting,"sales-report, analytics, executive-summary, data-analysis, ecommerce-metrics",beginner,"Summarize this week's sales data in a concise executive brief. Identify top-performing products, underperformers, traffic sources contributing to conversions, and cart abandonment rate changes. Highlight 3 actionable insights for next week. Data: 847 orders ($67,234 revenue), 3.2% cart abandonment (...",
analyze sales data and find business insights,pk_03414,sales data,data-analysis,sales-analytics,"sales, analytics, data",intermediate,analyze my sales data,
analyze sales data and find business insights,pk_01166,Step-by-Step SQL Analysis,data-analysis,sql-queries,"sql, window-functions, revenue-analysis, customer-analytics, database",advanced,"Write a comprehensive SQL query to analyze customer purchase patterns. Given tables 'customers' (id, name, signup_date, region), 'orders' (id, customer_id, order_date, total_amount), and 'products' (id, name, category, price), calculate: 1) Monthly revenue by region for the last 12 months, 2) Custom...",
analyze sales data and find business insights,pk_11422,dashboard thing for meeting tomorrow urgent,data-analysis,dashboards,"dashboard, tableau, powerbi, sales-analysis, data-visualization",intermediate,okay so i have a meeting tomorrow morning with my director and she wants to see some kind of dashboard showing our sales performance but i literally have no idea what im doing because ive never made a dashboard before and the last person who did this left the company so nobody can help me we have da...,
analyze sales data and find business insights,pk_00351,Sales Metrics Dashboard,sales-playbooks,metrics,"metrics, dashboard, kpis, analytics, funnel",intermediate,"What key sales metrics should be tracked on a weekly dashboard? For each metric, explain: the calculation method, why it matters, and what healthy benchmarks look like for a mid-sized B2B company. Organize into funnel stages.",
analyze sales data and find business insights,pk_05384,Pivot Table Design for Business Analysis,data-analysis,pivot-tables,"excel, spreadsheet, business-analysis, data-summarization, reporting-tools",beginner,"How do I create effective pivot tables for business analysis? Provide a guide with 10 practical examples covering common business scenarios: sales by region and product category, expense breakdown by department and month, employee performance metrics by team, inventory valuation by warehouse, custom...",
analyze sales data and find business insights,pk_08485,Sales metrics dashboard design,crm,analytics,"dashboard, metrics, analytics, visualization",advanced,"Design a comprehensive sales metrics dashboard for a B2B sales team. Specify the key metrics to track across categories (pipeline metrics, activity metrics, conversion metrics, revenue metrics), what visualizations work best for each metric type (charts, gauges, funnels), how to set up drill-down ca...",
analyze sales data and find business insights,pk_09892,Write SQL Query for Product Sales,data-analysis,sql-queries,"sql, aggregation, ranking, joins, business-intelligence",intermediate,"Write a SQL query to find the top 10 best-selling products by revenue from an e-commerce database. The query should join the orders, order_items, and products tables, calculate total revenue per product, and rank them. Format the output with product name, quantity sold, total revenue, and average or...",
analyze sales data and find business insights,pk_01323,Analyze Seasonal Sales Data,data-analysis,sales-analysis,"seasonal-trends, sales-analysis, inventory-planning, quarterly-data, forecasting",intermediate,"Analyze this quarterly sales data and identify seasonal patterns, growth trends, and anomalies. What products peaked in Q2? Which underperformed relative to expectations? Provide inventory recommendations for the next quarter based on your findings. Also suggest 2 marketing campaigns that could addr...",
analyze sales data and find business insights,pk_10194,Analyze customer reviews for insights,data-analysis,sentiment-analysis,"customer-feedback, reviews, insights, retail, data-mining",intermediate,"Analyze the following batch of customer reviews for an online fashion retailer. Identify the top 5 praise points, top 5 pain points, recurring themes, specific product features mentioned most frequently, and sentiment distribution. Also identify any reviews that suggest upsell or cross-sell opportun...",
analyze sales data and find business insights,pk_15607,Visualize Geographic Sales Data,visualization,geographic-viz,"geographic-viz, maps, sales-analysis, interactive-charts",intermediate,"Create a visualization strategy for displaying sales performance across 50 US states over a 3-year period. The data includes revenue, units sold, and customer count by state per month. Recommend specific visualization types (choropleth maps, bubble maps, heatmaps, etc.), explain how to handle the te...",
analyze sales data and find business insights,pk_02914,Exploratory Data Analysis Report,data-analysis,data-cleaning,"eda, data-analysis, retail-analytics, exploratory-analysis, reporting",intermediate,"Perform an exploratory data analysis on a retail transactions dataset with 100,000 rows and 12 columns: transaction_id, date, customer_id, product_category, product_name, quantity, unit_price, total_amount, payment_method, store_location, customer_age, customer_gender. Generate insights including: u...",
analyze sales data and find business insights,pk_09648,Identify outliers in sales data,data-analysis,data-cleaning,"outlier-detection, data-quality, anomaly-finding",intermediate,"Act as a data quality analyst. Review this sales dataset and identify potential outliers using multiple methods: IQR-based detection, Z-score thresholding, Isolation Forest, and DBSCAN clustering. For each method, explain the detected anomalies and their potential causes. Provide a summary table com...",
analyze sales data and find business insights,pk_04950,Extract Insights from Unstructured Data,data-analysis,text-analytics,"nlp, topic-modeling, sentiment-analysis, text-mining, insights",intermediate,"Extract structured insights from a corpus of 10,000 customer support tickets. Process the text data by cleaning, tokenizing, and vectorizing using TF-IDF or sentence embeddings. Perform topic modeling using LDA or BERTopic to discover recurring themes. Sentiment analysis to categorize tickets as pos...",
analyze sales data and find business insights,pk_04363,predicting how much stuff we gonna sell,data-analysis,forecasting,"time-series, sales-prediction, trend-analysis",beginner,hey so we have sales data going back like 3 years and my team lead asked me to figure out how much were gonna sell next month and i have no idea how to do that i know theres like forecasting and stuff but i dont know what tool to use i tried using excel and just extending the trend line but my team ...,
analyze sales data and find business insights,pk_15064,Classify customer review sentiment,data-analysis,sentiment-analysis,"reviews, classification, customer-feedback, nlp, insights",intermediate,"Analyze this customer review and classify it as Positive, Negative, or Neutral. Also identify the specific aspects mentioned (product quality, shipping, customer service, pricing, etc.) and extract any actionable insights for the business. Review: ""The shirt looked great in photos but the fabric fee...",
analyze sales data and find business insights,pk_03144,Analyze seasonal sales patterns,data-analysis,trend-analysis,"seasonality, sales-analysis, forecasting, inventory-planning, retail",advanced,"Examine this monthly sales data and identify seasonal trends, growth patterns, and anomalies: Month: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec 2022 Sales (K): 120 135 142 158 190 210 195 180 165 240 380 420 2023 Sales (K): 135 148 155 172 205 228 215 198 178 265 410 465 Provide: 1. Year-over-y...",
analyze sales data and find business insights,pk_19463,Analyze Customer Reviews for Insights,data-analysis,sentiment-analysis,"reviews, smartphone, customer feedback, product analysis, insights",intermediate,"Analyze these customer reviews for a smartphone product and identify: (1) top 3 praised features, (2) top 3 complained about features, (3) common themes in negative reviews, (4) overall sentiment breakdown, and (5) actionable recommendations for the product team. Present findings in a structured mar...",
analyze sales data and find business insights,pk_01768,Analyze customer reviews for insights,analytics,sentiment-analysis,"reviews, customer-feedback, insights, nlp, data-analysis",intermediate,"Analyze the following customer reviews and extract: 1) Top 3 most praised features, 2) Top 3 most common complaints, 3) Overall sentiment score (1-10), 4) Recommendations for product improvement. Present findings in a structured markdown table. Reviews: [Reviews will be provided by user]",
analyze sales data and find business insights,pk_17393,Step-by-Step Exploratory Data Analysis,data-analysis,eda,"eda, data-exploration, visualization, statistics, analysis",beginner,"Perform exploratory data analysis on the given customer purchase dataset. Start by loading and understanding the data structure. Then: 1) Check data types and summary statistics for each column, 2) Identify and visualize distributions of key numerical features, 3) Examine correlations between variab...",
analyze sales data and find business insights,pk_03320,Executive Sales Dashboard Design,visualization,dashboard-design,"dashboard, business-intelligence, sales, kpi, tableau",intermediate,"Design an executive sales dashboard that tracks: monthly revenue vs. target, top 10 products by revenue, customer acquisition cost by channel, sales rep performance rankings, and geographic heat map of sales density. For each of the five visualization components, specify the chart type, key metrics ...",
analyze sales data and find business insights,pk_17719,Customer Churn Analysis Report,data-analysis,churn-analysis,"business-analytics, random-forest, survival-analysis, customer-insights, reporting",intermediate,"Analyze this customer churn dataset and produce an executive summary report. The dataset contains: customer demographics, subscription details, usage metrics, support interactions, and churn labels. Requirements: 1) Executive summary with key findings and top 3 recommendations (2 paragraphs max), 2)...",
